,자치구명,공공안전시설_총계,혐오시설_총계,범죄발생_총계,cctv_총계,사설학원_총계,공공체육시설_총계,문화시설_총계,지하철역_총계,시내버스정류장_총계,초/중/고_총계,어린이집_총계,대학교_총계,병원_총계,공원_총계,관광명소_총계,관공서_총계
0,종로구,32,4,3138,2031,248,18,189,15,189,47,71,6,11,13,128,43
1,중구,27,0,3071,2718,108,23,82,23,161,36,64,2,10,4,52,32
2,용산구,19,0,2967,3258,151,38,62,10,232,38,106,2,2,3,24,25
3,성동구,21,1,2194,4409,294,38,22,14,187,41,151,2,10,4,5,56
4,광진구,17,1,3619,3828,441,35,29,11,170,46,152,3,13,3,1,29
5,동대문구,27,0,3253,3268,388,20,32,6,258,50,184,5,32,4,9,79
6,중랑구,23,0,3599,4512,271,23,15,8,357,48,191,1,20,3,3,67
7,성북구,31,1,2749,4578,469,28,34,9,282,62,210,7,18,3,14,46
8,강북구,20,4,2832,3331,217,16,17,3,195,38,122,1,16,3,8,54
9,도봉구,15,1,2141,2378,299,26,27,3,232,47,170,1,18,6,2,29
10,노원구,23,2,3896,3006,726,46,26,13,394,101,306,6,21,3,3,54
11,은평구,27,1,3487,5027,525,30,24,13,323,68,217,1,21,8,7,129
12,서대문구,17,1,2374,3793,355,22,19,5,210,43,136,9,14,5,14,63
13,마포구,23,2,4096,3155,699,42,42,16,250,52,187,3,14,4,13,52
14,양천구,22,0,3169,4447,1038,40,22,5,257,64,236,0,18,5,1,62
15,강서구,20,3,4663,3546,708,48,16,9,339,86,312,2,39,10,7,62
16,구로구,25,4,3857,5003,397,44,28,7,261,60,266,3,22,3,1,127
17,금천구,16,0,2577,3169,219,18,21,1,167,35,128,0,14,5,2,65
18,영등포구,22,0,4819,4566,470,38,22,11,291,47,224,0,30,6,11,67
19,동작구,23,2,2735,3024,470,24,23,12,140,51,168,3,11,7,5,81
20,관악구,24,2,4879,5772,415,26,18,4,260,59,185,1,20,2,3,46
21,서초구,28,2,4459,5395,1193,62,45,12,328,57,170,3,30,8,13,73
22,강남구,30,3,6947,7721,2500,36,71,21,421,84,183,1,68,5,17,38
23,송파구,29,3,5167,4031,1110,42,46,28,437,96,335,1,41,9,11,98
24,강동구,24,2,3711,3549,703,43,17,14,289,64,238,0,36,10,2,45
