,접수년도,서울사구,자치구명,법정동명,본번,부번,층,임대면적,보증금(만원),건축년도,건물명,평당 전세가(만원)
0,2017,동남,32182,32182,32182,32182,32182,32182,32182,32182,32182,32182
1,2017,동북,29383,29383,29383,29383,29383,29383,29383,29383,29383,29383
2,2017,서남,29625,29625,29625,29625,29625,29625,29625,29625,29625,29625
3,2017,서북,14834,14834,14834,14834,14834,14834,14834,14834,14834,14834
4,2018,동남,34005,34005,34005,34005,34005,34005,34005,34005,34005,34005
5,2018,동북,33168,33168,33168,33168,33168,33168,33168,33168,33168,33168
6,2018,서남,33769,33769,33769,33769,33769,33769,33769,33769,33769,33769
7,2018,서북,17284,17284,17284,17284,17284,17284,17284,17284,17284,17284
8,2019,동남,38657,38657,38657,38657,38657,38657,38657,38657,38657,38657
9,2019,동북,33847,33847,33847,33847,33847,33847,33847,33847,33847,33847
10,2019,서남,33379,33379,33379,33379,33379,33379,33379,33379,33379,33379
11,2019,서북,18261,18261,18261,18261,18261,18261,18261,18261,18261,18261
12,2020,동남,37687,37687,37687,37687,37687,37687,37687,37687,37687,37687
13,2020,동북,37915,37915,37915,37915,37915,37915,37915,37915,37915,37915
14,2020,서남,39316,39316,39316,39316,39316,39316,39316,39316,39316,39316
15,2020,서북,20360,20360,20360,20360,20360,20360,20360,20360,20360,20360
16,2021,동남,36155,36155,36155,36155,36155,36155,36155,36155,36155,36155
17,2021,동북,34750,34750,34750,34750,34750,34750,34750,34750,34750,34750
18,2021,서남,34070,34070,34070,34070,34070,34070,34070,34070,34070,34070
19,2021,서북,18023,18023,18023,18023,18023,18023,18023,18023,18023,18023
20,2022,동남,33782,33782,33782,33782,33782,33782,33782,33782,33782,33782
21,2022,동북,35744,35744,35744,35744,35744,35744,35744,35744,35744,35744
22,2022,서남,36050,36050,36050,36050,36050,36050,36050,36050,36050,36050
23,2022,서북,20051,20051,20051,20051,20051,20051,20051,20051,20051,20051
24,2023,동남,42755,42755,42755,42755,42755,42755,42755,42755,42755,42755
25,2023,동북,38288,38288,38288,38288,38288,38288,38288,38288,38288,38288
26,2023,서남,37920,37920,37920,37920,37920,37920,37920,37920,37920,37920
27,2023,서북,21471,21471,21471,21471,21471,21471,21471,21471,21471,21471
28,2024,동남,7667,7667,7667,7667,7667,7667,7667,7667,7667,7667
29,2024,동북,7545,7545,7545,7545,7545,7545,7545,7545,7545,7545
30,2024,서남,7153,7153,7153,7153,7153,7153,7153,7153,7153,7153
31,2024,서북,3935,3935,3935,3935,3935,3935,3935,3935,3935,3935
