,접수년도,서울사구,평당 전세가(만원),증감율
3,2017,서북,540.2624496313991,0.0
7,2018,서북,554.0554920550379,2.55302629917169
11,2019,서북,589.5774565955305,6.411264764967628
15,2020,서북,628.5073766874356,6.603020460908193
19,2021,서북,731.7392541159174,16.424926939214004
23,2022,서북,726.7125212644122,-0.6869568392334657
27,2023,서북,706.5111263527372,-2.779833059230419
31,2024,서북,758.9710207733118,7.425204283956766
2,2017,서남,473.3377628919486,0.0
6,2018,서남,503.21892674221533,6.312862863022373
10,2019,서남,520.1733820504433,3.369200641555592
14,2020,서남,563.8640681017312,8.399254471473716
18,2021,서남,642.7604705981594,13.992096137999322
22,2022,서남,642.5540231948116,-0.03211887052662066
26,2023,서남,616.1839838633665,-4.103941206426809
30,2024,서남,665.846796004625,8.059737585174043
1,2017,동북,441.0046061604329,0.0
5,2018,동북,469.7464638070395,6.517359965204217
9,2019,동북,482.5054124447235,2.7161351113278664
13,2020,동북,529.3352174884685,9.70555020439483
17,2021,동북,604.6896484844061,14.235673068093035
21,2022,동북,612.1345930532169,1.2312009288518277
25,2023,동북,581.5950293112118,-4.989027591085704
29,2024,동북,614.636466051567,5.681175917113079
0,2017,동남,639.2196156504708,0.0
4,2018,동남,708.976924659586,10.912886166381174
8,2019,동남,709.6402778950259,0.09356485554989913
12,2020,동남,818.79094809718,15.381126692233838
16,2021,동남,900.5625516124608,9.986871948854947
20,2022,동남,932.9973524046384,3.60161553843239
24,2023,동남,859.1402982311911,-7.916105440502442
28,2024,동남,911.3867596599706,6.081249073794481
