,접수년도,서울사구,평당 전세가(만원)
0,2017,동남,639.2196156504708
1,2017,동북,441.0046061604329
2,2017,서남,473.3377628919486
3,2017,서북,540.2624496313991
4,2018,동남,708.976924659586
5,2018,동북,469.7464638070395
6,2018,서남,503.21892674221533
7,2018,서북,554.0554920550379
8,2019,동남,709.6402778950259
9,2019,동북,482.5054124447235
10,2019,서남,520.1733820504433
11,2019,서북,589.5774565955305
12,2020,동남,818.79094809718
13,2020,동북,529.3352174884685
14,2020,서남,563.8640681017312
15,2020,서북,628.5073766874356
16,2021,동남,900.5625516124608
17,2021,동북,604.6896484844061
18,2021,서남,642.7604705981594
19,2021,서북,731.7392541159174
20,2022,동남,932.9973524046384
21,2022,동북,612.1345930532169
22,2022,서남,642.5540231948116
23,2022,서북,726.7125212644122
24,2023,동남,859.1402982311911
25,2023,동북,581.5950293112118
26,2023,서남,616.1839838633665
27,2023,서북,706.5111263527372
28,2024,동남,911.3867596599706
29,2024,동북,614.636466051567
30,2024,서남,665.846796004625
31,2024,서북,758.9710207733118
