,접수년도,서울사구,평당 전세가(만원)
0,2017,동남,251.45037265058872
1,2017,동북,150.51075002900436
2,2017,서남,145.40574780780543
3,2017,서북,185.4473436593729
4,2018,동남,277.00259231478753
5,2018,동북,175.68754161316605
6,2018,서남,157.55282777859972
7,2018,서북,209.4643383955586
8,2019,동남,288.9353885428207
9,2019,동북,181.09483989818986
10,2019,서남,171.44165959053188
11,2019,서북,216.94747680688457
12,2020,동남,337.9135996809507
13,2020,동북,216.6572450961643
14,2020,서남,192.29127088472106
15,2020,서북,246.6234228266517
16,2021,동남,412.27390591918453
17,2021,동북,255.24068501276926
18,2021,서남,243.8568014758077
19,2021,서북,297.68942068578417
20,2022,동남,402.7784456329328
21,2022,동북,260.68753125350423
22,2022,서남,230.53362478335612
23,2022,서북,290.7520446332218
24,2023,동남,381.24399697517924
25,2023,동북,222.7124603193134
26,2023,서남,204.0018879032545
27,2023,서북,253.46256266348288
28,2024,동남,382.21823000028684
29,2024,동북,248.56402606333674
30,2024,서남,202.21252054890536
31,2024,서북,274.0587838454191
